2026-01-15 22:38:10 | INFO     | __main__        | 🚀 Starting Data Factory...
2026-01-15 22:38:10 | INFO     | __main__        | Scanning raw data from /mnt/workspace/CareerNavigator/DataFactory/data/input/manualJD_1.txt...
2026-01-15 22:38:10 | INFO     | __main__        | 📖 Found 1 Job Descriptions. Analyzing...
2026-01-15 22:38:10 | INFO     | __main__        | Loading Taxonomy...
2026-01-15 22:38:10 | INFO     | __main__        | Taxonomy loaded: 940 canonical skills, 2280 matchable terms, 2280 alias mappings.
2026-01-15 22:38:10 | INFO     | __main__        | Graph statistics initialized.
2026-01-15 22:38:10 | INFO     | __main__        | Starting analysis of Job Descriptions...
2026-01-15 22:38:10 | DEBUG    | utils.text_processor | Found candidate: 'Web Designer'
2026-01-15 22:38:10 | DEBUG    | utils.text_processor | Best heuristic line candidate: 'Job description' (score=1.00)
2026-01-15 22:38:10 | DEBUG    | utils.text_processor | Returning heuristic candidate: 'Job description'
2026-01-15 22:38:10 | INFO     | __main__        | JD Analysis complete.
2026-01-15 22:38:10 | INFO     | __main__        | Performing final graph transformations and filtering...
2026-01-15 22:38:10 | INFO     | __main__        | Nodes prepared: 9 active nodes (Threshold: 1).
2026-01-15 22:38:10 | INFO     | __main__        | Edges filtered: 36 edges remaining.
2026-01-15 22:38:10 | INFO     | __main__        | Seniority distribution calculated.
2026-01-15 22:38:10 | INFO     | __main__        | Exporting data to /mnt/workspace/CareerNavigator/DataFactory/data/output...
2026-01-15 22:38:10 | INFO     | __main__        | Exporting Cosmograph files...
2026-01-15 22:38:10 | INFO     | __main__        | ✨ Done! Processed 1 JDs.
2026-01-15 22:38:10 | INFO     | __main__        | Found 9 filtered skills and 36 filtered edges
2026-01-15 22:38:10 | INFO     | __main__        | 📊 Seniority Distribution:
2026-01-15 22:38:10 | INFO     | __main__        |   - Senior: 1
2026-01-16 00:22:47 | INFO     | __main__        | 🚀 Starting Data Factory...
2026-01-16 00:22:47 | INFO     | __main__        | Scanning raw data from /mnt/workspace/CareerNavigator/DataFactory/data/input/manualJD_1.txt...
2026-01-16 00:22:47 | INFO     | __main__        | 📖 Found 1 Job Descriptions. Analyzing...
2026-01-16 00:22:47 | INFO     | __main__        | Loading Taxonomy...
2026-01-16 00:22:47 | INFO     | __main__        | Taxonomy loaded: 940 canonical skills, 2280 matchable terms, 2280 alias mappings.
2026-01-16 00:22:47 | INFO     | __main__        | Graph statistics initialized.
2026-01-16 00:22:47 | INFO     | __main__        | Starting analysis of Job Descriptions...
2026-01-16 00:22:47 | DEBUG    | utils.text_processor | Found candidate: 'Web Designer'
2026-01-16 00:22:47 | DEBUG    | utils.text_processor | Best heuristic line candidate: 'Job description' (score=1.00)
2026-01-16 00:22:47 | DEBUG    | utils.text_processor | Returning heuristic candidate: 'Job description'
2026-01-16 00:22:47 | INFO     | __main__        | JD Analysis complete.
2026-01-16 00:22:47 | INFO     | __main__        | Performing final graph transformations and filtering...
2026-01-16 00:22:47 | INFO     | __main__        | Nodes prepared: 9 active nodes (Threshold: 1).
2026-01-16 00:22:47 | INFO     | __main__        | Edges filtered: 36 edges remaining.
2026-01-16 00:22:47 | INFO     | __main__        | Seniority distribution calculated.
2026-01-16 00:22:47 | INFO     | __main__        | Exporting data to /mnt/workspace/CareerNavigator/DataFactory/data/output...
2026-01-16 00:22:47 | INFO     | __main__        | Exporting Cosmograph files...
2026-01-16 00:22:47 | INFO     | __main__        | ✨ Done! Processed 1 JDs.
2026-01-16 00:22:47 | INFO     | __main__        | Found 9 filtered skills and 36 filtered edges
2026-01-16 00:22:47 | INFO     | __main__        | 📊 Seniority Distribution:
2026-01-16 00:22:47 | INFO     | __main__        |   - Senior: 1
2026-01-16 01:01:03 | INFO     | __main__        | 🚀 Starting Data Factory...
2026-01-16 01:01:03 | INFO     | __main__        | Scanning raw data from /mnt/workspace/CareerNavigator/DataFactory/data/input/manualJD_1.txt...
2026-01-16 01:01:03 | INFO     | __main__        | 📖 Found 1 Job Descriptions. Analyzing...
2026-01-16 01:01:03 | INFO     | __main__        | Loading Taxonomy...
2026-01-16 01:01:03 | INFO     | __main__        | Taxonomy loaded: 940 canonical skills, 2280 matchable terms, 2280 alias mappings.
2026-01-16 01:01:03 | INFO     | __main__        | Graph statistics initialized.
2026-01-16 01:01:03 | INFO     | __main__        | Starting analysis of Job Descriptions...
2026-01-16 01:01:03 | DEBUG    | utils.seniority_analyzer | Loaded seniority keywords from /mnt/workspace/CareerNavigator/DataFactory/data/reference/seniority_keywords.json
2026-01-16 01:01:03 | INFO     | utils.text_processor | Found explicit title candidate: 'Web Designer'
2026-01-16 01:01:03 | DEBUG    | utils.text_processor | Best heuristic line candidate: 'Role: Web Designer' (score=2.50)
2026-01-16 01:01:03 | DEBUG    | utils.text_processor | Title density for 'Web Designer': 2.50 (score=5.0, words=2)
2026-01-16 01:01:03 | DEBUG    | utils.text_processor | Title density for 'Role: Web Designer': 2.00 (score=6.0, words=3)
2026-01-16 01:01:03 | DEBUG    | utils.text_processor | Explicit candidate 'Web Designer' wins by density (2.50 >= 2.00).
2026-01-16 01:01:03 | INFO     | __main__        | JD Analysis complete.
2026-01-16 01:01:03 | INFO     | __main__        | Performing final graph transformations and filtering...
2026-01-16 01:01:03 | INFO     | __main__        | Nodes prepared: 9 active nodes (Threshold: 1).
2026-01-16 01:01:03 | INFO     | __main__        | Edges filtered: 36 edges remaining.
2026-01-16 01:01:03 | INFO     | __main__        | Seniority distribution calculated.
